combat_type,defense_leader,season_id,counter_leader,counter_units,defense_units,seen,win_percent,avg_banners,raw_text,source_url,skipped_duplicate_team_count
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['GLHONDO', 'BRUTUS', 'CAPTAINSILVO']",287,93.0,52.77,Seen 287 Win % 93% Avg 52.77,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'WATTAMBOR']","['GLHONDO', 'SM33', 'VANE']",6673,89.0,48.27,"Seen 6,673 Win % 89% Avg 48.27",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'WATTAMBOR']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",16,87.0,47.2,Seen 16.2K Win % 87% Avg 47.2,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']","['GLHONDO', 'BRUTUS', 'VANE']",741,87.0,48.52,Seen 741 Win % 87% Avg 48.52,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'WATTAMBOR']","['GLHONDO', 'BRUTUS', 'VANE']",3919,86.0,46.54,"Seen 3,919 Win % 86% Avg 46.54",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']","['GLHONDO', 'QUIGGOLD', 'VANE']",1648,84.0,47.23,"Seen 1,648 Win % 84% Avg 47.23",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'GENERALHUX']","['GLHONDO', 'HONDO', 'VANE']",15,84.0,46.52,Seen 15.9K Win % 84% Avg 46.52,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",2512,83.0,46.32,"Seen 2,512 Win % 83% Avg 46.32",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']","['GLHONDO', 'SM33', 'VANE']",1046,82.0,45.4,"Seen 1,046 Win % 82% Avg 45.4",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'GENERALHUX']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",8645,78.0,42.8,"Seen 8,645 Win % 78% Avg 42.8",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
