match_url,match_format,combat_type,name,leader,units,unit_count,banners,attempt,outcome,zone,date
https://swgoh.gg/p/955978779/gac-history/O1782853200000/2/,5v5,characters,Boss Nass,BOSSNASS,"['BOSSNASS', 'JARJARBINKS', 'CAPTAINTARPALS', 'BOOMADIER', 'GUNGANPHALANX']",5,65,1,Win,,"Jul 3, 26 10:01:27 PM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Bossk,BOSSK,"['BOSSK', 'DENGAR', 'AURRA_SING', 'IG88', 'GREEDO']",5,64,1,Win,,"Jul 6, 26 9:50:13 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Rey,GLREY,"['GLREY', 'AMILYNHOLDO', 'RESISTANCETROOPER', 'ZORIIBLISS_V2', 'BENSOLO']",5,62,1,Win,,"Jul 6, 26 10:03:41 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Jedi Master Mace Windu,JEDIMASTERMACEWINDU,"['JEDIMASTERMACEWINDU', 'DEPABILLABA', 'VANGUARDTEMPLEGUARD', 'LUMINARAUNDULI', 'JOCASTANU']",5,55,1,Win,,"Jul 6, 26 10:11:41 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Jedi Master Kenobi,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'PADMEAMIDALA', 'GENERALKENOBI', 'COMMANDERAHSOKA', 'AHSOKATANO']",5,65,1,Win,,"Jul 6, 26 10:15:12 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Bastila Shan,BASTILASHAN,"['BASTILASHAN', 'GRANDMASTERLUKE', 'JEDIKNIGHTLUKE', 'JEDIKNIGHTCAL', 'HERMITYODA']",5,68,1,Win,,"Jul 6, 26 11:02:23 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Third Sister,THIRDSISTER,"['THIRDSISTER', 'GRANDINQUISITOR', 'MARROK', 'SEVENTHSISTER', 'FIFTHBROTHER']",5,60,1,Win,,"Jul 6, 26 11:09:54 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Darth Malgus,DARTHMALGUS,"['DARTHMALGUS', 'DARTHMALAK', 'DARTHREVAN', 'BASTILASHANDARK', 'SITHMARAUDER']",5,65,1,Win,,"Jul 6, 26 11:17:06 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,Boss Nass,BOSSNASS,"['BOSSNASS', 'JARJARBINKS', 'CAPTAINTARPALS', 'BOOMADIER', 'GUNGANPHALANX']",5,62,1,Win,,"Jul 6, 26 11:21:28 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,characters,General Skywalker,GENERALSKYWALKER,"['GENERALSKYWALKER', 'CT5555', 'CT7567', 'CT210408', 'ARCTROOPER501ST']",5,1,1,Loss,,"Jul 6, 26 11:32:53 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,ships,Executor,CAPITALEXECUTOR,"['CAPITALEXECUTOR', 'RAZORCREST', 'HOUNDSTOOTH', 'PUNISHINGONE', 'SLAVE1', 'IG2000', 'XANADUBLOOD']",7,69,1,Win,,"Jul 6, 26 11:41:16 AM"
https://swgoh.gg/p/955978779/gac-history/O1782853200000/3/,5v5,ships,Chimaera,CAPITALCHIMAERA,"['CAPITALCHIMAERA', 'TIEADVANCED', 'EMPERORSSHUTTLE', 'TIEBOMBERIMPERIAL', 'SCYTHE', 'TIEINTERCEPTOR', 'TIEDEFENDER', 'TIEREAPER']",8,70,1,Win,,"Jul 6, 26 4:01:29 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/1/,5v5,characters,Jedi Master Kenobi,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'PADMEAMIDALA', 'GENERALKENOBI', 'COMMANDERAHSOKA', 'AHSOKATANO']",5,62,1,Win,,"Jun 25, 26 8:32:22 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/1/,5v5,characters,Jedi Master Mace Windu,JEDIMASTERMACEWINDU,"['JEDIMASTERMACEWINDU', 'DEPABILLABA', 'VANGUARDTEMPLEGUARD', 'LUMINARAUNDULI', 'JOCASTANU']",5,67,1,Win,,"Jun 25, 26 8:36:55 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/1/,5v5,characters,Bossk,BOSSK,"['BOSSK', 'DENGAR', 'AURRA_SING', 'IG88', 'GREEDO']",5,65,1,Win,,"Jun 25, 26 8:39:03 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/2/,5v5,characters,Boss Nass,BOSSNASS,"['BOSSNASS', 'JARJARBINKS', 'CAPTAINTARPALS', 'BOOMADIER', 'GUNGANPHALANX']",5,52,1,Win,,"Jun 27, 26 9:53:25 AM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/2/,5v5,characters,Third Sister,THIRDSISTER,"['THIRDSISTER', 'GRANDINQUISITOR', 'MARROK', 'SEVENTHSISTER', 'FIFTHBROTHER']",5,0,1,Loss,,"Jun 27, 26 9:58:34 AM"
