combat_type,gac_format,leader,team_units,unit_count,times_seen,total_counter_seen,avg_counter_win_percent,source_notes,excluded_offense_units,perceived_strength
characters,5v5,QUEENAMIDALA,"['QUEENAMIDALA', 'GRANDMASTERYODA', 'MASTERQUIGON', 'PADAWANOBIWAN', 'SHAAKTI']",5,225,67943.0,85.703,"counter_results.csv, defense_teams.csv",[],100.165
characters,5v5,GREATMOTHERS,"['GREATMOTHERS', 'DEATHTROOPERPERIDEA', 'MORGANELSBETH', 'NIGHTSISTERSPIRIT', 'NIGHTTROOPER']",5,503,95448.0,97.1,"counter_results.csv, defense_teams.csv",[],76.251
ships,5v5,CAPITALMONCALAMARICRUISER,"['CAPITALMONCALAMARICRUISER', 'BWINGREBEL', 'RAVENSCLAW', 'UWINGROGUEONE', 'UWINGSCARIF', 'XWINGRED2', 'XWINGRED3']",7,99,58467.0,90.0,counter_results.csv,[],73.592
ships,5v5,CAPITALFINALIZER,"['CAPITALFINALIZER', 'COMMANDSHUTTLE', 'FIRSTORDERTIEECHELON', 'TIEFIGHTERFIRSTORDER', 'TIEFIGHTERFOSF', 'TIESILENCER']",6,1332,160668.0,97.711,counter_results.csv,[],71.24
ships,5v5,CAPITALSTARDESTROYER,"['CAPITALSTARDESTROYER', 'EMPERORSSHUTTLE', 'GAUNTLETSTARFIGHTER', 'SCYTHE', 'TIEBOMBERIMPERIAL', 'TIEDEFENDER']",6,363,45048.0,96.933,"counter_results.csv, defense_teams.csv",[],64.804
characters,5v5,PHASMA,"['PHASMA', 'FIRSTORDEREXECUTIONER', 'FIRSTORDERTIEPILOT', 'FIRSTORDERTROOPER', 'KYLOREN']",5,322,2530.0,100.0,counter_results.csv,[],59.802
characters,5v5,JANGOFETT,"['JANGOFETT', 'BOBAFETT', 'BOUSHH', 'JABBATHEHUTT', 'KRRSANTAN']",5,2,17.0,100.0,counter_results.csv,[],53.663
characters,5v5,BOSSK,"['BOSSK', 'CADBANE', 'DENGAR', 'GREEDO', 'IG88']",5,7,0.0,,defense_teams.csv,[],52.525
characters,5v5,MONMOTHMA,"['MONMOTHMA', 'ADMINISTRATORLANDO', 'BIGGSDARKLIGHTER', 'KYLEKATARN', 'WEDGEANTILLES']",5,8,59.0,93.0,"counter_results.csv, defense_teams.csv",[],51.66
characters,5v5,VEERS,"['VEERS', 'ADMIRALPIETT', 'COLONELSTARCK', 'GRANDMOFFTARKIN', 'TIEFIGHTERPILOT']",5,23,69.0,100.0,counter_results.csv,[],47.688
