defense_name,defense_leader,combat_type,defense_units,chosen_counter_leader,chosen_counter_units,win_percent,seen,avg_banners,counter_cost,score,status,reason
Boss Nass,BOSSNASS,characters,"['BOSSNASS', 'JARJARBINKS', 'CAPTAINTARPALS', 'BOOMADIER', 'GUNGANPHALANX']",GREATMOTHERS,"['GREATMOTHERS', 'DEATHTROOPERPERIDEA', 'MERRIN', 'MORGANELSBETH', 'NIGHTTROOPER']",94.0,1203,60.83,28.507,68.907,assigned,reliable counter found; note: underbuilt unit MERRIN (relic 0)
Bossk,BOSSK,characters,"['BOSSK', 'DENGAR', 'AURRA_SING', 'IG88', 'GREEDO']",COMMANDERLUKESKYWALKER,"['COMMANDERLUKESKYWALKER', 'C3POCHEWBACCA', 'C3POLEGENDARY', 'CHEWBACCALEGENDARY', 'HANSOLO']",100.0,32,64.72,40.71,62.626,assigned,reliable counter found
Rey,GLREY,characters,"['GLREY', 'AMILYNHOLDO', 'RESISTANCETROOPER', 'ZORIIBLISS_V2', 'BENSOLO']",QUEENAMIDALA,"['QUEENAMIDALA', 'BADBATCHECHO', 'GENERALSKYWALKER', 'MASTERQUIGON', 'PADAWANOBIWAN']",98.0,471,64.09,36.48,64.498,assigned,reliable counter found; note: underbuilt unit BADBATCHECHO (relic 0)
Jedi Master Mace Windu,JEDIMASTERMACEWINDU,characters,"['JEDIMASTERMACEWINDU', 'DEPABILLABA', 'VANGUARDTEMPLEGUARD', 'LUMINARAUNDULI', 'JOCASTANU']",DARTHTRAYA,"['DARTHTRAYA', 'DARTHNIHILUS', 'DARTHTALON', 'SAVAGEOPRESS']",95.0,380,62.1,21.71,75.195,assigned,reliable counter found; note: flexibility penalty: valid for 2 defenses
Jedi Master Kenobi,JEDIMASTERKENOBI,characters,"['JEDIMASTERKENOBI', 'PADMEAMIDALA', 'GENERALKENOBI', 'COMMANDERAHSOKA', 'AHSOKATANO']",GLLEIA,"['GLLEIA', 'ADMIRALRADDUS', 'CAPTAINDROGAN', 'CAPTAINREX', 'R2D2_LEGENDARY']",100.0,34,63.59,49.64,51.617,assigned,reliable counter found; note: underbuilt unit ADMIRALRADDUS (relic 0)
Bastila Shan,BASTILASHAN,characters,"['BASTILASHAN', 'GRANDMASTERLUKE', 'JEDIKNIGHTLUKE', 'JEDIKNIGHTCAL', 'HERMITYODA']",JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA']",100.0,2,68.0,29.7,63.885,assigned,reliable counter found; note: relaxed threshold penalty: -5; low sample size: seen 2; flexibility penalty: valid for 2 defenses
Third Sister,THIRDSISTER,characters,"['THIRDSISTER', 'GRANDINQUISITOR', 'MARROK', 'SEVENTHSISTER', 'FIFTHBROTHER']",DARTHBANE,"['DARTHBANE', 'DARTHSIDIOUS']",99.0,455,64.95,10.63,91.34,assigned,reliable counter found; note: underbuilt unit DARTHSIDIOUS (relic 0)
Darth Malgus,DARTHMALGUS,characters,"['DARTHMALGUS', 'DARTHMALAK', 'DARTHREVAN', 'BASTILASHANDARK', 'SITHMARAUDER']",JABBATHEHUTT,"['JABBATHEHUTT', 'BOBAFETT', 'BOUSHH', 'EMBO', 'KRRSANTAN']",96.0,150,61.95,44.787,50.409,assigned,reliable counter found; note: underbuilt unit EMBO (relic 0); flexibility penalty: valid for 2 defenses
General Skywalker,GENERALSKYWALKER,characters,"['GENERALSKYWALKER', 'CT5555', 'CT7567', 'CT210408', 'ARCTROOPER501ST']",THIRDSISTER,"['THIRDSISTER', 'FIFTHBROTHER', 'GRANDINQUISITOR', 'INQUISITORBARRISS', 'SEVENTHSISTER']",100.0,69,64.19,34.719,61.01,assigned,reliable counter found; note: underbuilt unit INQUISITORBARRISS (relic 0); flexibility penalty: valid for 3 defenses
Executor,CAPITALEXECUTOR,ships,"['CAPITALEXECUTOR', 'RAZORCREST', 'HOUNDSTOOTH', 'PUNISHINGONE', 'SLAVE1', 'IG2000', 'XANADUBLOOD']",CAPITALEXECUTOR,"['CAPITALEXECUTOR', 'PUNISHINGONE', 'RAZORCREST', 'XANADUBLOOD', 'HOUNDSTOOTH', 'IG2000', 'SLAVE1']",76.0,813,53.15,48.28,28.471,assigned,reliable counter found; note: relaxed threshold penalty: -1.5; relaxed win threshold: 76.0% win is below normal 80% threshold; flexibility penalty: valid for 2 defenses
Chimaera,CAPITALCHIMAERA,ships,"['CAPITALCHIMAERA', 'TIEADVANCED', 'EMPERORSSHUTTLE', 'TIEBOMBERIMPERIAL', 'SCYTHE', 'TIEINTERCEPTOR', 'TIEDEFENDER', 'TIEREAPER']",CAPITALNEGOTIATOR,"['CAPITALNEGOTIATOR', 'JEDISTARFIGHTERANAKIN', 'MARAUDER', 'YWINGCLONEWARS', 'BLADEOFDORIN', 'JEDISTARFIGHTERAHSOKATANO', 'UMBARANSTARFIGHTER']",93.0,43,64.67,47.3,49.228,assigned,reliable counter found
