combat_type,defense_leader,season_id,counter_leader,counter_units,defense_units,seen,win_percent,avg_banners,raw_text,source_url,skipped_duplicate_team_count
characters,GLREY,,GLLEIA,"['GLLEIA', 'ADMIRALRADDUS', 'CAPTAINDROGAN', 'JYNERSO', 'R2D2_LEGENDARY']","['GLREY', 'BENSOLO', 'CALKESTIS', 'EZRAEXILE', 'REYJEDITRAINING']",153,99.0,60.73,Seen 153 Win % 99% Avg 60.73,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER', 'GENERALHUX', 'KYLORENUNMASKED']","['GLREY', 'AMILYNHOLDO', 'BB8', 'BENSOLO', 'REYJEDITRAINING']",285,97.0,55.59,Seen 285 Win % 97% Avg 55.59,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER', 'GENERALHUX', 'KYLORENUNMASKED']","['GLREY', 'BENSOLO', 'EPIXFINN', 'EPIXPOE', 'REYJEDITRAINING']",122,96.0,54.26,Seen 122 Win % 96% Avg 54.26,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,STRANGER,"['STRANGER', 'BARRISSOFFEE', 'MAULHATEFUELED', 'STARKILLER', 'VISASMARR']","['GLREY', '50RT', 'BENSOLO', 'CALKESTIS', 'GENERALKENOBI']",241,92.0,57.27,Seen 241 Win % 92% Avg 57.27,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,GRANDMASTERLUKE,"['GRANDMASTERLUKE', 'HERMITYODA', 'JEDIKNIGHTCAL', 'JEDIKNIGHTLUKE', 'JEDIKNIGHTREVAN']","['GLREY', 'AMILYNHOLDO', 'BB8', 'BENSOLO', 'REYJEDITRAINING']",126,90.0,54.87,Seen 126 Win % 90% Avg 54.87,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER', 'GENERALHUX', 'KYLORENUNMASKED']","['GLREY', '50RT', 'BENSOLO', 'CALKESTIS', 'REYJEDITRAINING']",215,90.0,50.11,Seen 215 Win % 90% Avg 50.11,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER', 'GENERALHUX', 'KYLORENUNMASKED']","['GLREY', 'BENSOLO', 'CALKESTIS', 'LUMINARAUNDULI', 'REYJEDITRAINING']",152,89.0,48.78,Seen 152 Win % 89% Avg 48.78,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER', 'GENERALHUX', 'KYLORENUNMASKED']","['GLREY', 'BENSOLO', 'CALKESTIS', 'GENERALKENOBI', 'LUMINARAUNDULI']",135,88.0,47.64,Seen 135 Win % 88% Avg 47.64,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER', 'GENERALHUX', 'KYLORENUNMASKED']","['GLREY', 'BENSOLO', 'CALKESTIS', 'FULCRUMAHSOKA', 'REYJEDITRAINING']",262,88.0,49.64,Seen 262 Win % 88% Avg 49.64,https://swgoh.gg/gac/counters/GLREY/,1
characters,GLREY,,GLLEIA,"['GLLEIA', 'ADMIRALRADDUS', 'CAPTAINDROGAN', 'JYNERSO', 'R2D2_LEGENDARY']","['GLREY', '50RT', 'BENSOLO', 'CALKESTIS', 'GENERALKENOBI']",183,86.0,53.64,Seen 183 Win % 86% Avg 53.64,https://swgoh.gg/gac/counters/GLREY/,1
