combat_type,gac_format,leader,team_units,unit_count,times_seen,total_counter_seen,avg_counter_win_percent,source_notes
characters,3v3,COMMANDERLUKESKYWALKER,"['COMMANDERLUKESKYWALKER', 'C3POCHEWBACCA', 'C3POLEGENDARY']",3,88,12732.0,98.568,counter_results.csv
characters,3v3,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'GENERALKENOBI']",3,54,19992.0,78.444,counter_results.csv
characters,3v3,STORMTROOPERLUKE,"['STORMTROOPERLUKE', 'PRINCESSLEIA', 'STORMTROOPERHAN']",3,52,29649.0,82.84,"counter_results.csv, defense_teams.csv"
characters,3v3,MAJORPARTAGAZ,"['MAJORPARTAGAZ', 'DEDRAMEERO', 'KXSECURITYDROID']",3,52,19938.0,84.5,"counter_results.csv, defense_teams.csv"
ships,3v3,CAPITALMALEVOLENCE,"['CAPITALMALEVOLENCE', 'GEONOSIANSTARFIGHTER1', 'GEONOSIANSTARFIGHTER2', 'GEONOSIANSTARFIGHTER3', 'HYENABOMBER', 'VULTUREDROID']",6,52,16320.0,97.354,"counter_results.csv, defense_teams.csv"
characters,3v3,CC2224,"['CC2224', 'CAPTAINREX', 'KIX']",3,51,28583.0,64.76,"counter_results.csv, defense_teams.csv"
characters,3v3,GRANDMOFFTARKIN,"['GRANDMOFFTARKIN', 'DISGUISEDCLONETROOPER', 'SCORCH']",3,49,64180.0,95.918,counter_results.csv
characters,3v3,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']",3,46,7176.0,79.609,counter_results.csv
characters,3v3,GENERALSKYWALKER,"['GENERALSKYWALKER', 'ARCTROOPER501ST', 'CT210408']",3,44,5162.0,97.409,counter_results.csv
ships,3v3,CAPITALFINALIZER,"['CAPITALFINALIZER', 'COMMANDSHUTTLE', 'FIRSTORDERTIEECHELON', 'TIEFIGHTERFIRSTORDER', 'TIEFIGHTERFOSF', 'TIESILENCER']",6,40,4463.0,97.711,"counter_results.csv, defense_teams.csv"
characters,3v3,CHIEFCHIRPA,"['CHIEFCHIRPA', 'PRINCESSKNEESAA', 'WICKET']",3,40,2177.0,100.0,"counter_results.csv, defense_teams.csv"
characters,3v3,QUEENAMIDALA,"['QUEENAMIDALA', 'MASTERQUIGON', 'PADAWANOBIWAN']",3,39,60523.0,72.135,"counter_results.csv, defense_teams.csv"
ships,3v3,CAPITALEXECUTOR,"['CAPITALEXECUTOR', 'HOUNDSTOOTH', 'IG2000', 'PUNISHINGONE', 'RAZORCREST', 'SLAVE1', 'XANADUBLOOD']",7,36,27794.0,94.486,"counter_results.csv, defense_teams.csv"
characters,3v3,BAYLANSKOLL,"['BAYLANSKOLL', 'MARROK', 'SHINHATI']",3,35,57567.0,70.529,"counter_results.csv, defense_teams.csv"
characters,3v3,GLLEIA,"['GLLEIA', 'CAPTAINDROGAN', 'R2D2_LEGENDARY']",3,35,21287.0,59.588,"counter_results.csv, defense_teams.csv"
characters,3v3,THIRDSISTER,"['THIRDSISTER', 'GRANDINQUISITOR', 'SEVENTHSISTER']",3,34,39861.0,86.758,"counter_results.csv, defense_teams.csv"
ships,3v3,CAPITALMONCALAMARICRUISER,"['CAPITALMONCALAMARICRUISER', 'BWINGREBEL', 'RAVENSCLAW', 'UWINGROGUEONE', 'UWINGSCARIF', 'XWINGRED2', 'XWINGRED3']",7,34,19489.0,90.0,"counter_results.csv, defense_teams.csv"
characters,3v3,DARTHREVAN,"['DARTHREVAN', 'BASTILASHANDARK', 'DARTHMALAK']",3,34,8626.0,96.31,"counter_results.csv, defense_teams.csv"
characters,3v3,EMPERORPALPATINE,"['EMPERORPALPATINE', 'MARAJADE', 'VADERDUELSEND']",3,33,34795.0,86.594,"counter_results.csv, defense_teams.csv"
ships,3v3,CAPITALRADDUS,"['CAPITALRADDUS', 'COMEUPPANCE', 'MG100STARFORTRESSSF17', 'MILLENNIUMFALCONEP7', 'XWINGBLACKONE', 'XWINGRESISTANCE']",6,33,8686.0,96.097,"counter_results.csv, defense_teams.csv"
characters,3v3,DOCTORAPHRA,"['DOCTORAPHRA', 'BT1', 'TRIPLEZERO']",3,33,4414.0,97.939,counter_results.csv
characters,3v3,JEDIKNIGHTREVAN,"['JEDIKNIGHTREVAN', 'BASTILASHAN', 'JOLEEBINDO']",3,33,214.0,100.0,"counter_results.csv, defense_teams.csv"
characters,3v3,LORDVADER,"['LORDVADER', 'APPO', 'OPERATIVE']",3,32,44078.0,66.871,"counter_results.csv, defense_teams.csv"
characters,3v3,CASSIANUNDERCOVER,"['CASSIANUNDERCOVER', 'CINTA', 'VEL']",3,32,17572.0,91.281,"counter_results.csv, defense_teams.csv"
characters,3v3,DASHRENDAR,"['DASHRENDAR', 'CHEWBACCALEGENDARY', 'HANSOLO']",3,32,3882.0,98.031,counter_results.csv
characters,3v3,QUIGONJINN,"['QUIGONJINN', 'ANAKINKNIGHT', 'KIADIMUNDI']",3,30,17961.0,97.433,counter_results.csv
characters,3v3,FIFTHBROTHER,"['FIFTHBROTHER', 'EIGHTHBROTHER', 'SECONDSISTER']",3,30,265.0,100.0,"counter_results.csv, defense_teams.csv"
characters,3v3,JEDIMASTERMACEWINDU,"['JEDIMASTERMACEWINDU', 'DEPABILLABA', 'VANGUARDTEMPLEGUARD']",3,29,33270.0,95.63,"counter_results.csv, defense_teams.csv"
characters,3v3,HOTHLEIA,"['HOTHLEIA', 'ADMINISTRATORLANDO', 'HOTHHAN']",3,29,179.0,100.0,"counter_results.csv, defense_teams.csv"
characters,3v3,OMEGAS3,"['OMEGAS3', 'CROSSHAIRS3', 'WRECKERS3']",3,27,3221.0,99.583,"counter_results.csv, defense_teams.csv"
characters,3v3,DARTHTRAYA,"['DARTHTRAYA', 'DARTHNIHILUS', 'SAVAGEOPRESS']",3,25,3008.0,96.783,"counter_results.csv, defense_teams.csv"
characters,3v3,JABBATHEHUTT,"['JABBATHEHUTT', 'BOUSHH', 'KRRSANTAN']",3,24,54581.0,69.957,"counter_results.csv, defense_teams.csv"
characters,3v3,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']",3,23,28491.0,48.364,"counter_results.csv, defense_teams.csv"
characters,3v3,NUTEGUNRAY,"['NUTEGUNRAY', 'COUNTDOOKU', 'JANGOFETT']",3,22,1101.0,99.318,counter_results.csv
characters,3v3,VEERS,"['VEERS', 'ADMIRALPIETT', 'DARKTROOPER']",3,22,227.0,100.0,"counter_results.csv, defense_teams.csv"
characters,3v3,GENERALHUX,"['GENERALHUX', 'FIRSTORDERTIEPILOT', 'FOSITHTROOPER']",3,21,208.0,100.0,counter_results.csv
characters,3v3,GREATMOTHERS,"['GREATMOTHERS', 'MERRIN', 'MORGANELSBETH']",3,20,6283.0,96.294,"counter_results.csv, defense_teams.csv"
characters,3v3,GEONOSIANBROODALPHA,"['GEONOSIANBROODALPHA', 'GEONOSIANSPY', 'SUNFAC']",3,19,1279.0,99.895,counter_results.csv
characters,3v3,MOTHERTALZIN,"['MOTHERTALZIN', 'DAKA', 'MERRIN']",3,19,993.0,100.0,counter_results.csv
characters,3v3,SAWGERRERA,"['SAWGERRERA', 'KYLEKATARN', 'LUTHENRAEL']",3,17,13818.0,91.294,counter_results.csv
characters,3v3,PADMEAMIDALA,"['PADMEAMIDALA', 'AHSOKATANO', 'GENERALKENOBI']",3,17,1807.0,99.471,counter_results.csv
ships,3v3,CAPITALNEGOTIATOR,"['CAPITALNEGOTIATOR', 'ARC170REX', 'BLADEOFDORIN', 'JEDISTARFIGHTERAHSOKATANO', 'JEDISTARFIGHTERANAKIN', 'MARAUDER', 'UMBARANSTARFIGHTER', 'YWINGCLONEWARS']",8,16,11058.0,97.938,"counter_results.csv, defense_teams.csv"
characters,3v3,HERASYNDULLAS3,"['HERASYNDULLAS3', 'CAPTAINREX', 'KANANJARRUSS3']",3,16,635.0,99.562,"counter_results.csv, defense_teams.csv"
characters,3v3,FENNECSHAND,"['FENNECSHAND', '4LOM', 'ASAJJDARKDISCIPLE']",3,16,57.0,100.0,counter_results.csv
characters,3v3,TUSKENHUNTRESS,"['TUSKENHUNTRESS', 'TUSKENCHIEFTAIN', 'TUSKENRAIDER']",3,16,24.0,83.929,"counter_results.csv, defense_teams.csv"
ships,3v3,CAPITALSTARDESTROYER,"['CAPITALSTARDESTROYER', 'EMPERORSSHUTTLE', 'GAUNTLETSTARFIGHTER', 'SCYTHE', 'TIEBOMBERIMPERIAL', 'TIEDEFENDER']",6,15,1877.0,96.933,counter_results.csv
characters,3v3,DAKA,"['DAKA', 'NIGHTSISTERACOLYTE', 'NIGHTSISTERZOMBIE']",3,14,59.0,100.0,"counter_results.csv, defense_teams.csv"
characters,3v3,MAZKANATA,"['MAZKANATA', 'ITHANO', 'QUIGGOLD']",3,13,11090.0,96.462,counter_results.csv
ships,3v3,CAPITALSTARDESTROYER,"['CAPITALSTARDESTROYER', 'SCYTHE', 'TIEADVANCED', 'TIEDEFENDER', 'TIEFIGHTERIMPERIAL', 'TIEINTERCEPTOR']",6,13,930.0,97.0,counter_results.csv
characters,3v3,ZUCKUSS,"['ZUCKUSS', '4LOM', 'ZAMWESELL']",3,13,224.0,100.0,counter_results.csv
characters,3v3,KYLORENUNMASKED,"['KYLORENUNMASKED', 'FOSITHTROOPER', 'KYLOREN']",3,13,111.0,100.0,counter_results.csv
characters,3v3,POGGLETHELESSER,"['POGGLETHELESSER', 'DROIDEKA', 'SUNFAC']",3,13,36.0,100.0,counter_results.csv
characters,3v3,PHASMA,"['PHASMA', 'FIRSTORDERSPECIALFORCESPILOT', 'FIRSTORDERTIEPILOT']",3,12,177.0,100.0,"counter_results.csv, defense_teams.csv"
characters,3v3,DIRECTORKRENNIC,"['DIRECTORKRENNIC', 'SCOUTTROOPER_V3', 'STORMTROOPER']",3,12,0.0,,defense_teams.csv
characters,3v3,GLREY,"['GLREY', 'BENSOLO', 'CALKESTIS']",3,11,24098.0,76.6,"counter_results.csv, defense_teams.csv"
characters,3v3,GLHONDO,"['GLHONDO', 'CAPTAINSILVO', 'VANE']",3,11,21685.0,56.182,counter_results.csv
characters,3v3,GLAHSOKATANO,"['GLAHSOKATANO', 'EZRAEXILE', 'HUYANG']",3,9,13080.0,50.778,"counter_results.csv, defense_teams.csv"
characters,3v3,GRIEVOUS,"['GRIEVOUS', 'B1BATTLEDROIDV2', 'B2SUPERBATTLEDROID']",3,9,1397.0,99.222,counter_results.csv
characters,3v3,50RT,"['50RT', 'L3_37', 'T3_M4']",3,8,145.0,100.0,counter_results.csv
characters,3v3,ADMIRALACKBAR,"['ADMIRALACKBAR', 'BIGGSDARKLIGHTER', 'WEDGEANTILLES']",3,8,43.0,100.0,counter_results.csv
characters,3v3,TEEBO,"['TEEBO', 'EWOKELDER', 'WICKET']",3,8,23.0,100.0,counter_results.csv
characters,3v3,BOKATAN,"['BOKATAN', 'ARMORER', 'PAZVIZSLA']",3,8,17.0,100.0,counter_results.csv
characters,3v3,DENGAR,"['DENGAR', 'BOBAFETT', 'ZAMWESELL']",3,5,9.0,100.0,counter_results.csv
characters,3v3,GRANDMOFFTARKIN,"['GRANDMOFFTARKIN', 'APPO', 'OPERATIVE', 'SCORCH', 'TIEFIGHTERPILOT']",5,1,0.0,,defense_teams.csv
ships,3v3,CAPITALMONCALAMARICRUISER,"['CAPITALMONCALAMARICRUISER', 'BWINGREBEL', 'GHOST', 'MILLENNIUMFALCON', 'OUTRIDER', 'PHANTOM2', 'RAVENSCLAW', 'YWINGREBEL']",8,1,0.0,,defense_teams.csv
characters,3v3,QUIGONJINN,"['QUIGONJINN', 'AHSOKATANO', 'ANAKINKNIGHT', 'GRANDMASTERYODA', 'SHAAKTI']",5,1,0.0,,defense_teams.csv
characters,3v3,BOSSK,"['BOSSK', 'BOBAFETT', 'BOUSHH', 'CADBANE', 'IG88']",5,1,0.0,,defense_teams.csv
characters,3v3,AURRA_SING,"['AURRA_SING', 'GAMORREANGUARD', 'GREEDO', 'HUMANTHUG', 'KRRSANTAN']",5,1,0.0,,defense_teams.csv
