created_at,combat_type,defense_leader,defense_name,counter_leader,counter_units,reason
2026-07-22T20:45:58,characters,BOKATAN,Bo-Katan Kryze,AURRA_SING,"['AURRA_SING', 'GREEDO', 'IG88']",
2026-07-22T20:46:33,characters,HERASYNDULLAS3,Hera Syndulla,PADMEAMIDALA,"['PADMEAMIDALA', 'AHSOKATANO', 'GRANDMASTERYODA']",
2026-07-22T20:47:15,ships,CAPITALRADDUS,Raddus,CAPITALSTARDESTROYER,"['CAPITALSTARDESTROYER', 'SCYTHE', 'TIEADVANCED', 'TIEDEFENDER', 'TIEINTERCEPTOR']",
2026-07-24T13:39:55,characters,TUSKENHUNTRESS,Tusken Warrior,PADMEAMIDALA,"['PADMEAMIDALA', 'AHSOKATANO', 'MACEWINDU']",
2026-07-24T13:43:45,characters,TEEBO,Teebo,ENFYSNEST,['ENFYSNEST'],
2026-07-29T22:36:44,characters,QUIGONJINN,Qui-Gon Jinn,BOSSNASS,"['BOSSNASS', 'CAPTAINTARPALS', 'GUNGANPHALANX']",
2026-07-29T22:37:14,characters,TEEBO,Teebo,KYLOREN,['KYLOREN'],
2026-07-29T22:37:35,characters,TEEBO,Teebo,ADMIRALPIETT,['ADMIRALPIETT'],
2026-08-13T15:28:22,characters,DARTHREVAN,Darth Revan,DARTHMALAK,['DARTHMALAK'],
2026-08-13T15:28:37,characters,DARTHREVAN,Darth Revan,DARTHBANE,"['DARTHBANE', 'COUNTDOOKU']",
2026-08-13T15:28:46,characters,BADBATCHHUNTER,Hunter,DARTHBANE,"['DARTHBANE', 'COUNTDOOKU']",
